,ENTERPRISENAME,PRINTERDEVICEID,BRANDNAME,PRINTERMODELNAME,SERIALNUMBER,ADDRESSNAME,DATA_LEITURA,CONTADOR_PB,CONTADOR_COR,ENGAGED,CONTADOR_TOTAL
0,9853_TRE_BA,650,HP,Color LaserJet Flow E87760,BRBSR9N0DZ,10.5.203.21 (Network),2024-04-10T23:21:09,250,308,False,558
1,9853_TRE_BA,652,HP,Color LaserJet Flow E87760,BRBSR7W0CH,10.5.205.32 (Network),2024-04-10T15:19:38,348,305,False,653
2,9853_TRE_BA,654,HP,Color LaserJet Flow E87760,BRBSR9N0DG,10.5.205.13 (Network),2024-04-10T19:20:46,225,182,False,407
3,9853_TRE_BA,412,HP,Color LaserJet MFP E77830,CND1N4704B,10.5.201.249 (Network),2024-04-10T23:21:21,1316,4533,False,5849
4,9853_TRE_BA,385,HP,Color LaserJet MFP E77830,CND1N48060,10.5.202.145 (Network),2024-04-10T23:21:15,5060,15909,False,20969
5,9853_TRE_BA,388,HP,Color LaserJet MFP E77830,CND1N48061,10.5.207.44 (Network),2024-04-10T23:21:09,3250,12620,False,15870
6,9853_TRE_BA,389,HP,Color LaserJet MFP E77830,CND1N4703B,10.5.207.207 (Network),2024-04-10T13:35:12,34852,58097,False,92949
7,9853_TRE_BA,642,HP,Color LaserJet MFP E77830,CND1N4607X,10.5.133.101 (Network),2024-04-10T23:21:10,196,532,False,728
8,9853_TRE_BA,368,HP,Color LaserJet MFP E77830,CND1N4709F,10.5.202.98 (Network),2024-04-10T23:21:10,1708,7208,False,8916
9,9853_TRE_BA,369,HP,Color LaserJet MFP E77830,CND1N470B0,10.5.201.104 (Network),2024-04-10T23:21:13,6001,29097,False,35098
10,9853_TRE_BA,370,HP,Color LaserJet MFP E77830,CND1N49018,10.5.201.248 (Network),2024-04-10T23:21:13,5277,24199,False,29476
11,9853_TRE_BA,371,HP,Color LaserJet MFP E77830,CND1N4703F,10.5.201.96 (Network),2024-04-10T23:21:33,4291,5094,False,9385
12,9853_TRE_BA,391,HP,Color LaserJet MFP E77830,CND1N47041,10.5.139.70 (Network),2024-04-10T23:21:09,3116,3797,False,6913
13,9853_TRE_BA,392,HP,Color LaserJet MFP E77830,CND1N4607V,10.5.202.40 (Network),2024-04-10T23:21:11,14795,19039,False,33834
14,9853_TRE_BA,399,HP,Color LaserJet MFP E77830,CND1N4704Y,10.5.206.14 (Network),2024-04-10T23:21:12,8310,18992,False,27302
15,9853_TRE_BA,325,HP,Color LaserJet MFP E77830,CND1N46081,10.5.132.122 (Network),2024-04-10T23:21:10,10261,17009,False,27270
16,9853_TRE_BA,332,HP,Color LaserJet MFP E77830,CND1N47042,10.5.136.36 (Network),2024-04-10T23:21:09,15484,20967,False,36451
17,9853_TRE_BA,334,HP,Color LaserJet MFP E77830,CND1N4608M,10.5.132.100 (Network),2024-04-10T23:21:12,1563,10974,False,12537
18,9853_TRE_BA,337,HP,Color LaserJet MFP E77830,CND1N4705F,10.5.206.181 (Network),2024-04-10T19:21:01,4673,23538,False,28211
19,9853_TRE_BA,339,HP,Color LaserJet MFP E77830,CND1N47054,10.5.136.31 (Network),2024-04-10T23:21:11,5798,7665,False,13463
20,9853_TRE_BA,352,HP,Color LaserJet MFP E77830,CND1N47081,10.5.135.96 (Network),2024-04-10T23:21:11,8726,14923,False,23649
21,9853_TRE_BA,354,HP,Color LaserJet MFP E77830,CND1N4705K,10.5.139.52 (Network),2024-04-10T23:21:11,5897,8488,False,14385
22,9853_TRE_BA,355,HP,Color LaserJet MFP E77830,CND1N4707W,10.5.136.21 (Network),2024-04-10T23:22:47,2944,5812,False,8756
23,9853_TRE_BA,356,HP,Color LaserJet MFP E77830,CND1N4704C,10.5.205.79 (Network),2024-04-10T23:21:03,1781,7028,False,8809
24,9853_TRE_BA,357,HP,Color LaserJet MFP E77830,CND1N47056,10.5.133.91 (Network),2024-04-10T19:20:54,2037,7165,False,9202
25,9853_TRE_BA,358,HP,Color LaserJet MFP E77830,CND1N49013,10.5.133.84 (Network),2024-04-10T07:17:12,5772,31075,False,36847
26,9853_TRE_BA,415,HP,Color LaserJet MFP E77830,CND1N47055,10.5.131.57 (Network),2024-04-10T23:21:08,3139,6033,False,9172
27,9853_TRE_BA,416,HP,LaserJet MFP E52645,BRBSN8TMK1,10.5.135.73 (Network),2024-04-10T23:21:11,4630,0,False,4630
28,9853_TRE_BA,417,HP,LaserJet MFP E52645,BRBSN8TMH2,10.5.108.237 (Network),2024-04-10T23:21:09,8191,0,False,8191
29,9853_TRE_BA,418,HP,LaserJet MFP E52645,BRBSN8TM7T,10.5.108.62 (Network),2024-04-10T23:21:16,79661,0,False,79661
30,9853_TRE_BA,419,HP,LaserJet MFP E52645,BRBSN8TM88,10.5.131.41 (Network),2024-04-10T23:26:58,8430,0,False,8430
31,9853_TRE_BA,420,HP,LaserJet MFP E52645,BRBSN8TLH9,10.5.108.218 (Network),2024-04-10T23:21:25,57390,0,False,57390
32,9853_TRE_BA,421,HP,LaserJet MFP E52645,BRBSN8SKFC,10.5.108.232 (Network),2024-04-10T23:21:07,27230,0,False,27230
33,9853_TRE_BA,422,HP,LaserJet MFP E52645,BRBSN8TMDJ,10.5.206.30 (Network),2024-04-10T23:21:08,1065,0,False,1065
34,9853_TRE_BA,424,HP,LaserJet MFP E52645,BRBSN8TMKB,10.5.205.34 (Network),2024-04-10T23:21:05,5370,0,False,5370
35,9853_TRE_BA,425,HP,LaserJet MFP E52645,BRBSN8TLH6,10.5.203.75 (Network),2024-04-10T23:21:21,15632,0,False,15632
36,9853_TRE_BA,426,HP,LaserJet MFP E52645,BRBSNCLJ6Z,10.171.188.60 (Network),2024-04-10T23:21:25,29023,0,False,29023
37,9853_TRE_BA,427,HP,LaserJet MFP E52645,BRBSND96LF,10.171.203.60 (Network),2024-04-10T23:22:56,49522,0,False,49522
38,9853_TRE_BA,428,HP,LaserJet MFP E52645,BRBSNDH887,10.171.25.60 (Network),2024-04-10T23:21:25,60666,0,False,60666
